taxon,Locality,institution,ID,Sex,dorsal_color,ventral_color,dorsal-ventral_color_transition,ventral_tail_color,Chin_color,dorsal_scale_rows_anterior (10 ventrals in),dorsal_scale_rows_midbody,dorsal_scale_rows_posterior (5 before vent),anal_plate,ventrals,subcaudal_type,subcaudals_left,subcaudals_right,head_length,head_width,head_length-width_ratio,total_length,tail_length ,tail_total_ratio,body_width_midbody1 ,body_width_midbody2 ,body_width_midbody3 ,body_width_midbody_average,radius,circumference,anterior_chin_shield_length_left,anterior_chin_shield_width_left,posterior_chin_shield_length_left,posterior_chin_shield_width_left,intergenial_length_left,intergenial_width_left,anterior_chin_shield_length_right,anterior_chin_shield_width_right,posterior_chin_shield_length_right,posterior_chin_shield_width_right,intergenial_length_right,intergenial_width_right,temporal_scale_formula: ant+post (L | R),supraoculars (L | R),preoculars (L | R),suboculars (L | R),postoculars (L | R),supralabials (L | R),supralabials_contacts_loreal (L | R),supralabials_contact_eye (L | R),infralabials (L | R),infralabials_contact_anterior_chin_shields (L | R),infralabials_contact_posterior_chin_shields (L | R)
Hypsiscopus murphi,Taiwan,UF,13227-7,NA,greyish/purple,yellowish; faint pigmentation at posterior edge of scales; faint half moon on anterior part of some ventrals,gradual (DSR 3 from ventrals is more dark than light),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,16,divided,125,divided,34,35,0.058322785,0.03556962,0.005189873,1.150632911,0.150632911,0.000411392,0.037721519,0.037911392,0.038386076,0.038006329,0.019018987,0.119398734,0.011993671,0.006550633,0.015981013,0.006044304,0.009683544,0.002689873,0.014082278,0.006170886,0.014905063,0.005031646,0.005632911,0.00306962,1+2 | 1+3,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Taiwan,UF,13231-3,NA,light greyish/purple,yellowish; faint pigmentation at posterior edge of scales; faint half moon on anterior part of ventrals,gradual (DSR 3 from ventrals is more dark than light),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,17,divided,126,divided,36,35,0.054797508,0.04211838,0.004049844,1.137476636,0.137476636,0.000373832,0.044672897,0.044610592,0.044672897,0.044641745,0.022336449,0.140280374,0.011775701,0.006137072,0.011214953,0.005202492,0.006105919,0.002772586,0.00953271,0.006791277,0.010280374,0.005358255,0.005202492,0.00364486,1+1 | 1+2,1,1,0,2,8,1+2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,East of Red River [China],AMNH,33903,Male,charcoalish grey,yellow (mustard); faint pigmentation at posterior edge of scales; grey blotches at anterior edge of scales on some scales; half moon on anterior part of ventrals 23 ventrals away from vent,gradual (DSR 3 from ventrals is more dark than light),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,17,divided,127,divided,39,40,0.045482866,0.028442368,0.004984424,1.139688474,0.139688474,0.000373832,0.030903427,0.03211838,0.03165109,0.031557632,0.015794393,0.099127726,0.011028037,0.005327103,0.010249221,0.005109034,0.004953271,0.002429907,0.011121495,0.00588785,0.01,0.00517134,0.00411215,0.002866044,1+2,1,1,0,2,8,2+3,4+5,10,1–5,4+5
Hypsiscopus murphi,Upper Mainland SEA,NCSM,78627,Female,light purple/grey,cream; immaculate,sharp (between DSR 2 and 3 from ventrals),charcol grey mid-ventral stripe starting at subcaudal pair 5 from vent; subcaudals clean,trimmed,19,19,15,divided,130,divided,34,35,0.053527607,0.030613497,0.005368098,1.122361963,0.122361963,0.000337423,0.029693252,0.029417178,0.029785276,0.029631902,0.014815951,0.09309816,0.009631902,0.004110429,0.010736196,0.003588957,0.004877301,0.002668712,0.011503067,0.005644172,0.009969325,0.003711656,0.004294479,0.002269939,1+2,1,1,0,2,8,2+3,4+5,10,1–5,4+5
Hypsiscopus murphi,Vietnam,ROM,32386,NA,light greyish/purple,cream;immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; a bit choppy though (not continuous); subcaudals clean (starts about 6 subcaudals from the vent),trimmed,19,19,15,divided,132,divided,33,33,0.043783784,0.033723724,0.003903904,1.102012012,0.102012012,0.00027027,0.031831832,0.032462462,0.031111111,0.031801802,0.015915916,0.09990991,0.012882883,0.005465465,0.013303303,0.003843844,0.004744745,0.002972973,0.011801802,0.004954955,0.011501502,0.005165165,0.004834835,0.002192192,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus plumbea,Upper Mainland SEA,FMNH,263709,male,"greyish/purpleish (not as distinct as Sumatra and Java, but there are some dark scales near the head that make a dorsolateral stripe)",cream;immaculate,"sharp but kind of gradual anterior edge of DSR 3 has charcoal grey); not as prominent, but some darker coloration on the DSR 4 makes a lateral stripe, but not as visible as Java and Sumatra specimens)",charcol grey mid-ventral stripe (starting 6 subcaudals away from the vent); subcaudals clean,trimmed,19,19,17,divided,113,divided,39,40,0.05483871,0.033612903,0.005258065,1.183870968,0.183870968,0.002096774,0.032645161,0.033935484,0.035709677,0.034096774,0.034580645,0.034806452,0.012548387,0.005225806,0.009645161,0.004064516,0.005548387,0.001709677,0.012935484,0.005258065,0.010451613,0.003870968,0.003741935,0.001870968,1+2 | 2+2,1,1,0,2,8,3,4,10,1–6 | 1–5,6 | 5+6
Hypsiscopus murphi,Upper Mainland SEA,FMNH,263704,male,light greyish/purple,cream;immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe (starting at subcaudals 6 from vent); subcaudals clean,trimmed,19,19,15,divided,127,divided,39,39,0.043834356,0.026380368,0.005092025,1.12892638,0.12892638,0.000337423,0.036472393,0.036257669,0.036349693,0.036349693,0.036319018,0.036349693,0.011042945,0.004386503,0.010276074,0.004570552,0.00392638,0.00107362,0.010122699,0.004447853,0.009110429,0.003742331,0.002791411,0.002055215,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,FMNH,263714,NA,light greyish/purple,cream;immaculate,"sharp (between DSR 3 and 4 from ventrals; tiny bit of bleeding on anterior edge or DSR 1,2,3)",charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,15,divided,124,divided,33,33,0.055484848,0.032727273,0.005151515,1.11669697,0.11669697,0.00030303,0.032515152,0.032363636,0.032515152,0.032454545,0.032454545,0.032484848,0.013545455,0.004636364,0.010121212,0.004242424,0.004484848,0.001212121,0.010878788,0.003727273,0.01069697,0.003909091,0.004060606,0.00130303,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus plumbea,Lower Mainland SEA,FMNH,250123,NA,tan/brownish/purpleish,cream;immaculate,"sharp, but some blending (between DSR 3 and 4 from ventrals); scale row 3 from ventrals are darker than surrounding rows making a lateral stripe on each side",charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,17,divided,123,divided,38,38,0.051909091,0.032969697,0.004757576,1.134727273,0.134727273,0.000363636,0.032787879,0.032545455,0.031939394,0.032424242,0.016212121,0.101878788,0.014181818,0.005090909,0.010909091,0.003515152,0.005151515,0.001909091,0.013090909,0.003909091,0.011,0.003515152,0.005424242,0.001393939,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Vietnam,ROM,32393,NA,light greyish/purple,cream;immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; subcaudals clean ,trimmed,19,19,15,divided,134,divided,39,39,0.048962406,0.029443609,0.004992481,1.134315789,0.134315789,0.000360902,0.035278195,0.035699248,0.036240602,0.035729323,0.017864662,0.112270677,0.012090226,0.00562406,0.010285714,0.004631579,0.005503759,0.002556391,0.010616541,0.005443609,0.010556391,0.004090226,0.004691729,0.002496241,1+2,1,1,0,2,8,2+3,4+5,10 | 11,1–5 | 1–6,5+6 | 6+7
