taxon,Locality,institution,ID,Sex,dorsal_color,ventral_color,dorsal-ventral_color_transition,ventral_tail_color,Chin_color,dorsal_scale_rows_anterior (10 ventrals in),dorsal_scale_rows_midbody,dorsal_scale_rows_posterior (5 before vent),anal_plate,ventrals,subcaudal_type,subcaudals_left,subcaudals_right,head_length,head_width,head_length-width_ratio,total_length,tail_length ,tail_total_ratio,body_width_midbody1 ,body_width_midbody2 ,body_width_midbody3 ,body_width_midbody_average,radius,circumference,anterior_chin_shield_length_left,anterior_chin_shield_width_left,posterior_chin_shield_length_left,posterior_chin_shield_width_left,intergenial_length_left,intergenial_width_left,anterior_chin_shield_length_right,anterior_chin_shield_width_right,posterior_chin_shield_length_right,posterior_chin_shield_width_right,intergenial_length_right,intergenial_width_right,temporal_scale_formula: ant+post (L | R),supraoculars (L | R),preoculars (L | R),suboculars (L | R),postoculars (L | R),supralabials (L | R),supralabials_contacts_loreal (L | R),supralabials_contact_eye (L | R),infralabials (L | R),infralabials_contact_anterior_chin_shields (L | R),infralabials_contact_posterior_chin_shields (L | R)
Hypsiscopus murphi,Vietnam,ROM,32374,NA,dark grey,"cream/yellow; closer to the immaculate state, but some dots of pigmentation on mid of ventrals ",sharp (between DSR 3 and 4 from ventrals) (but some a tiny bit of bleeding into the light colored lateral scales),charcol grey mid-ventral stripe; subcaudals clean but towards tail tip there is some bleeding,bearded? ,19,19,15,divided,127,divided,32,32,0.042061856,0.033835052,0.002556701,1.096701031,0.096701031,0.000185567,0.036,0.036701031,0.03585567,0.036185567,0.018103093,0.113670103,0.011402062,0.005402062,0.009752577,0.004989691,0.003072165,0.002041237,0.012927835,0.005505155,0.011154639,0.004865979,0.002371134,0.001546392,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus plumbea,Upper Mainland SEA,FMNH,259076,NA,dark grey/purple; scale borders a bit darker than scale interior,cream/tan; faint pigmentation at posterior and anterior edge of scales; grey blotches at anterior edge of scales on some scales,"sharp, but some blending (between DSR 2 and 3 from ventrals); scale row 3 from ventrals are darker than surrounding rows making a lateral stripe on each side",charcol grey mid-ventral stripe; subcaudals clean,trimmed? A bit more prominent though,19,19,17,divided,118,divided,35,35,0.049157895,0.037010526,0.0028,1.129347368,0.129347368,0.000231579,0.049852632,0.048926316,0.048884211,0.049221053,0.024610526,0.154631579,0.011410526,0.004357895,0.013136842,0.004126316,0.005094737,0.001136842,0.010968421,0.003915789,0.012905263,0.004484211,0.003978947,0.001978947,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus plumbea,Upper Mainland SEA,FMNH,263708,NA,greyish/purple; has some random darker grey scales on the vertebral scales (more anteriorly),cream;immaculate,"sharp but kind of gradual anterior edge of DSR 1,2 have charcoal grey); not as prominent, but some darker coloration on the DSR 4 makes a lateral stripe, but not as visible as Java and Sumatra specimens)",charcol grey mid-ventral stripe (starting 4 subcaudals away from the vent); subcaudals clean,trimmed,19,19,17,divided,114,divided,38,38,0.042288136,0.029639831,0.003029661,1.156779661,0.156779661,0.00029661,0.03375,0.033114407,0.032394068,0.03309322,0.032860169,0.032775424,0.011610169,0.00470339,0.010995763,0.002944915,0.003305085,0.001694915,0.011228814,0.004110169,0.008919492,0.003559322,0.003877119,0.001059322,1+2,1,1,0,2,8,2+3,4 | 4+5,10,1–5,5+6
Hypsiscopus plumbea,Upper Mainland SEA,FMNH,263729,NA,greyish/purple,cream; mostly immaculate but a tad of grey flecking here and there ,"sharp but kind of gradual anterior edge of DSR 1,2 have charcoal grey); not as prominent, but some darker coloration on the DSR 4 makes a lateral stripe, but not as visible as Java and Sumatra specimens)",charcol grey mid-ventral stripe (starting 4 subcaudals away from the vent); subcaudals clean,trimmed? A bit more prominent though,19,19,17,divided,116,divided,34,35,0.046861925,0.033556485,0.00292887,1.148535565,0.148535565,0.000271967,0.044016736,0.04374477,0.043786611,0.043849372,0.043786611,0.043807531,0.010774059,0.005439331,0.006631799,0.003807531,0.003953975,0.002238494,0.010690377,0.004518828,0.011966527,0.00458159,0.004372385,0.002217573,1+2,1,1,0,2,8,2+3,4,10,1–5,5+6
Hypsiscopus plumbea,Upper Mainland SEA,FMNH,263710,female?,"tan/brownish/purpleish (not as distinct as Sumatra and Java, but there are some dark scales near the head that make a dorsolateral stripe)",cream;immaculate,"sharp but kind of gradual anterior edge of DSR 1,2,3 have charcoal grey); not as prominent, but some darker coloration on the DSR 4 makes a lateral stripe, but not as visible as Java and Sumatra specimens)",charcol grey mid-ventral stripe (starting 4 subcaudals away from the vent); subcaudals clean,trimmed,19,19,17,divided,116,divided,36,36,0.049604167,0.034666667,0.002979167,1.145833333,0.145833333,0.000270833,0.043041667,0.043375,0.042916667,0.043104167,0.043125,0.0430625,0.012520833,0.0043125,0.0085,0.003895833,0.003958333,0.002166667,0.011354167,0.005125,0.0099375,0.004354167,0.004229167,0.002166667,1+2,1,1,0,2,8,2+3,4,10,1–5,5+6
Hypsiscopus plumbea,Borneo,ROM,19826,NA,"charcol grey; single, black scales here and there",cream/tan; faint pigmentation at posterior edge of scales; grey blotches at anterior edge of scales on some scales,gradual,charcol grey mid-ventral stripe with bleeding pigmentation into subcaudauls,trimmed,19,19,17,divided,120,divided,38,38,0.052103093,0.040371134,0.002659794,1.179381443,0.179381443,0.000309278,0.050082474,0.050845361,0.051154639,0.050701031,0.025340206,0.159257732,0.013319588,0.006309278,0.01214433,0.005030928,0.005670103,0.003402062,0.012103093,0.005690722,0.011979381,0.005134021,0.005587629,0.003402062,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus plumbea,Upper Mainland SEA,FMNH,257428,NA,dark grey/purple; scale borders a bit darker than scale interior; some random scales are black/charcoal grey,cream/tan; faint pigmentation at posterior edge of scales; grey blotches at anterior edge of scales on some scales,gradual (DSR 3 from ventrals is more dark than light),charcol grey mid-ventral stripe with bleeding pigmentation into subcaudauls,bearded? Not as much as the other ones but close,19,19,17,divided,122,divided,37,37,0.04922619,0.031746032,0.003075397,1.158730159,0.158730159,0.000277778,0.03406746,0.034285714,0.033988095,0.034107143,0.017063492,0.107162698,0.012202381,0.005039683,0.008730159,0.003968254,0.003313492,0.001626984,0.011170635,0.004047619,0.00843254,0.00422619,0.003373016,0.001507937,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus plumbea,Upper Mainland SEA,FMNH,252499,NA,dark grey/purple; scale borders a bit darker than scale interior,cream/tan; faint pigmentation at posterior edge of scales; grey blotches at anterior edge of scales on some scales,gradual (DSR 3 from ventrals is more dark than light),charcol grey mid-ventral stripe with bleeding pigmentation into subcaudauls,bearded,19,19,17,divided,120,divided,37,37,0.044627151,0.031185468,0.002734226,1.12793499,0.12793499,0.000210325,0.033709369,0.033613767,0.033862333,0.033728489,0.016864245,0.105965583,0.012332696,0.004493308,0.010229446,0.00416826,0.003613767,0.001357553,0.011510516,0.004952199,0.010325048,0.004933078,0.003728489,0.001357553,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Vietnam,ROM,32381,NA,light greyish/purple,"cream/yellow; closer to the immaculate state, but some dots of pigmentation on mid of ventrals ",sharp (between DSR 3 and 4 from ventrals) (but some a tiny bit of bleeding into the light colored lateral scales),charcol grey mid-ventral stripe; subcaudals clean (starts about 4 subcaudals from the vent),trimmed,19,19,15,divided,133,divided,33,33,0.040462107,0.029630314,0.002532348,1.103512015,0.103512015,0.000166359,0.026580407,0.026839187,0.026839187,0.026746765,0.013382625,0.084048059,0.009075786,0.004565619,0.007874307,0.003918669,0.004621072,0.001478743,0.010018484,0.003974122,0.00935305,0.003419593,0.004510166,0.00103512,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus plumbea,Upper Mainland SEA,FMNH,263715,NA,very dark grey/purple,cream/tan; faint pigmentation at posterior edge of scales; grey blotches at anterior edge of scales on some scales,"sharp (between DSR 3 and 4 from ventrals; but some bleeding on anterior edge or DSR 1,2,3)",charcol grey mid-ventral stripe; subcaudals clean,trimmed? A bit more prominent though,19,20,17,divided,116,divided,30,30,0.047837338,0.035434381,0.002495379,1.113918669,0.113918669,0.000184843,0.037375231,0.037430684,0.03780037,0.03754159,0.037597043,0.037634011,0.010277264,0.004325323,0.007985213,0.003567468,0.004343808,0.001829945,0.010277264,0.004362292,0.009463956,0.004177449,0.004621072,0.001848429,1+2,1,1,0,2,8,2+3,4,10,1–5,5+6
